Time,THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 15:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,2.503628E+04,9.597045E+02,1.533985E+00,6.716999E-02,1.224226E+04,4.486050E+03,7.500838E-01,3.140338E-01,3.608244E+04,2.347858E+02,2.210791E+00,1.643202E-02,1.249668E+04,3.444061E+02,7.656731E-01,2.410470E-02,1.746997E+04,8.730852E+04,1.070767E+00,6.110612E+00,3.682818E+04,6.177526E+03,2.256484E+00,4.324402E-01,1.210396E+04,3.141913E+03,7.416103E-01,2.199426E-01,3.203210E+04,7.398013E+03,1.962200E+00,5.179391E-01,4.446137E+04,6.533728E+03,2.723583E+00,4.574259E-01,2.427826E+04,6.847314E+03,1.487539E+00,4.793285E-01,1.173842E+05,9.240039E+04,7.192288E+00,6.468353E+00,3.865814E+04,3.386870E+04,2.369429E+00,2.370491E+00,1.600085E+04,4.630764E+03,9.801669E-01,3.242056E-01,1.258308E+04,9.753259E+02,7.709671E-01,6.826713E-02,1.584433E+04,3.421156E+03,9.705788E-01,2.395167E-01 
00:30:00,2.503632E+04,8.186722E+02,1.533988E+00,5.729865E-02,1.224231E+04,4.328842E+03,7.500868E-01,3.030293E-01,3.608247E+04,1.105848E+02,2.210793E+00,7.739461E-03,1.249670E+04,2.771712E+02,7.656744E-01,1.939883E-02,1.747012E+04,8.712752E+04,1.070776E+00,6.097857E+00,3.682826E+04,5.958130E+03,2.256490E+00,4.170831E-01,1.210401E+04,3.060386E+03,7.416133E-01,2.142361E-01,3.203223E+04,7.189776E+03,1.962209E+00,5.033616E-01,4.446149E+04,6.280575E+03,2.723590E+00,4.397033E-01,2.427836E+04,6.665722E+03,1.487544E+00,4.666179E-01,1.173848E+05,9.183139E+04,7.192322E+00,6.428526E+00,3.865818E+04,3.365580E+04,2.369431E+00,2.355568E+00,1.600092E+04,4.470212E+03,9.801712E-01,3.129653E-01,1.258310E+04,8.721511E+02,7.709684E-01,6.104499E-02,1.584440E+04,3.324432E+03,9.705831E-01,2.327457E-01 
00:45:00,2.503636E+04,6.835937E+02,1.533990E+00,4.784414E-02,1.224235E+04,4.179052E+03,7.500896E-01,2.925436E-01,3.608249E+04,3.281810E+01,2.210795E+00,2.296807E-03,1.249672E+04,2.127467E+02,7.656756E-01,1.488970E-02,1.747027E+04,8.694242E+04,1.070785E+00,6.084836E+00,3.682834E+04,5.753566E+03,2.256495E+00,4.027642E-01,1.210406E+04,2.982654E+03,7.416161E-01,2.087951E-01,3.203236E+04,6.988788E+03,1.962217E+00,4.892904E-01,4.446160E+04,6.038214E+03,2.723597E+00,4.227353E-01,2.427845E+04,6.492298E+03,1.487550E+00,4.544785E-01,1.173853E+05,9.126966E+04,7.192354E+00,6.389203E+00,3.865821E+04,3.344884E+04,2.369433E+00,2.341062E+00,1.600098E+04,4.316488E+03,9.801752E-01,3.022025E-01,1.258312E+04,7.741067E+02,7.709696E-01,5.418202E-02,1.584446E+04,3.231049E+03,9.705871E-01,2.262080E-01 
01:00:00,2.503640E+04,5.541538E+02,1.533992E+00,3.878440E-02,1.224240E+04,4.036367E+03,7.500923E-01,2.825552E-01,3.608252E+04,0.000000E+00,2.210796E+00,0.000000E+00,1.249673E+04,1.509760E+02,7.656767E-01,1.056641E-02,1.747042E+04,8.675447E+04,1.070794E+00,6.071630E+00,3.682842E+04,5.558697E+03,2.256499E+00,3.891238E-01,1.210410E+04,2.908670E+03,7.416188E-01,2.036163E-01,3.203249E+04,6.794876E+03,1.962225E+00,4.757140E-01,4.446170E+04,5.806477E+03,2.723603E+00,4.065106E-01,2.427854E+04,6.326838E+03,1.487555E+00,4.428962E-01,1.173858E+05,9.071534E+04,7.192385E+00,6.350396E+00,3.865824E+04,3.324711E+04,2.369434E+00,2.326925E+00,1.600104E+04,4.169300E+03,9.801789E-01,2.918971E-01,1.258314E+04,6.809371E+02,7.709707E-01,4.766035E-02,1.584452E+04,3.140935E+03,9.705908E-01,2.198988E-01 
01:15:00,2.503643E+04,4.392155E+02,1.533994E+00,3.073975E-02,1.224244E+04,3.904779E+03,7.500948E-01,2.733436E-01,3.608254E+04,0.000000E+00,2.210798E+00,0.000000E+00,1.249675E+04,9.617274E+01,7.656777E-01,6.730813E-03,1.747056E+04,8.666285E+04,1.070803E+00,6.065174E+00,3.682849E+04,5.381716E+03,2.256504E+00,3.767348E-01,1.210414E+04,2.842655E+03,7.416214E-01,1.989952E-01,3.203260E+04,6.617295E+03,1.962232E+00,4.632806E-01,4.446180E+04,5.595391E+03,2.723609E+00,3.917316E-01,2.427862E+04,6.177901E+03,1.487560E+00,4.324703E-01,1.173863E+05,9.027656E+04,7.192414E+00,6.319673E+00,3.865826E+04,3.315542E+04,2.369436E+00,2.320491E+00,1.600110E+04,4.032975E+03,9.801825E-01,2.823522E-01,1.258315E+04,5.967971E+02,7.709717E-01,4.177079E-02,1.584458E+04,3.058606E+03,9.705944E-01,2.141346E-01 
01:30:00,2.503646E+04,3.317816E+02,1.533996E+00,2.322049E-02,1.224248E+04,3.780751E+03,7.500973E-01,2.646611E-01,3.608256E+04,0.000000E+00,2.210799E+00,0.000000E+00,1.249677E+04,5.148402E+01,7.656787E-01,3.603170E-03,1.747071E+04,8.657184E+04,1.070812E+00,6.058767E+00,3.682856E+04,5.213798E+03,2.256508E+00,3.649797E-01,1.210418E+04,2.781348E+03,7.416238E-01,1.947038E-01,3.203271E+04,6.449189E+03,1.962238E+00,4.515107E-01,4.446189E+04,5.398239E+03,2.723615E+00,3.779282E-01,2.427870E+04,6.038604E+03,1.487565E+00,4.227194E-01,1.173868E+05,8.985732E+04,7.192443E+00,6.290319E+00,3.865829E+04,3.307191E+04,2.369438E+00,2.314631E+00,1.600116E+04,3.904016E+03,9.801858E-01,2.733231E-01,1.258317E+04,5.181672E+02,7.709727E-01,3.626701E-02,1.584464E+04,2.980743E+03,9.705977E-01,2.086831E-01 
01:45:00,2.503649E+04,2.315125E+02,1.533998E+00,1.620280E-02,1.224252E+04,3.663946E+03,7.500997E-01,2.564844E-01,3.608258E+04,0.000000E+00,2.210800E+00,0.000000E+00,1.249678E+04,2.112575E+01,7.656795E-01,1.478499E-03,1.747085E+04,8.648044E+04,1.070820E+00,6.052340E+00,3.682863E+04,5.053037E+03,2.256512E+00,3.537253E-01,1.210422E+04,2.724831E+03,7.416262E-01,1.907477E-01,3.203282E+04,6.290412E+03,1.962245E+00,4.403942E-01,4.446198E+04,5.215201E+03,2.723620E+00,3.651134E-01,2.427878E+04,5.908781E+03,1.487570E+00,4.136318E-01,1.173872E+05,8.945709E+04,7.192470E+00,6.262296E+00,3.865831E+04,3.299173E+04,2.369439E+00,2.309005E+00,1.600121E+04,3.782159E+03,9.801889E-01,2.647912E-01,1.258318E+04,4.447055E+02,7.709735E-01,3.112506E-02,1.584469E+04,2.907290E+03,9.706009E-01,2.035404E-01 
02:00:00,2.503651E+04,1.382441E+02,1.533999E+00,9.675181E-03,1.224255E+04,3.554144E+03,7.501019E-01,2.487980E-01,3.608260E+04,0.000000E+00,2.210801E+00,0.000000E+00,1.249679E+04,4.721863E+00,7.656803E-01,3.304597E-04,1.747098E+04,8.638874E+04,1.070829E+00,6.045899E+00,3.682870E+04,4.904861E+03,2.256516E+00,3.433514E-01,1.210426E+04,2.673843E+03,7.416284E-01,1.871790E-01,3.203291E+04,6.140890E+03,1.962251E+00,4.299257E-01,4.446206E+04,5.046707E+03,2.723625E+00,3.533170E-01,2.427885E+04,5.788438E+03,1.487574E+00,4.052080E-01,1.173876E+05,8.907580E+04,7.192496E+00,6.235600E+00,3.865834E+04,3.291375E+04,2.369441E+00,2.303536E+00,1.600126E+04,3.667211E+03,9.801919E-01,2.567433E-01,1.258320E+04,3.762073E+02,7.709743E-01,2.633061E-02,1.584474E+04,2.838226E+03,9.706039E-01,1.987050E-01 
02:15:00,2.503654E+04,6.897225E+01,1.534001E+00,4.827079E-03,1.224259E+04,3.450296E+03,7.501041E-01,2.415285E-01,3.608262E+04,0.000000E+00,2.210803E+00,0.000000E+00,1.249681E+04,0.000000E+00,7.656811E-01,0.000000E+00,1.747112E+04,8.629645E+04,1.070837E+00,6.039423E+00,3.682876E+04,4.760080E+03,2.256520E+00,3.332161E-01,1.210430E+04,2.625907E+03,7.416306E-01,1.838242E-01,3.203301E+04,5.998198E+03,1.962256E+00,4.199355E-01,4.446214E+04,4.890927E+03,2.723630E+00,3.424111E-01,2.427892E+04,5.675996E+03,1.487579E+00,3.973375E-01,1.173880E+05,8.870401E+04,7.192522E+00,6.209573E+00,3.865836E+04,3.283760E+04,2.369442E+00,2.298196E+00,1.600130E+04,3.557839E+03,9.801948E-01,2.490858E-01,1.258321E+04,3.115579E+02,7.709751E-01,2.180562E-02,1.584478E+04,2.772362E+03,9.706067E-01,1.940938E-01 
02:30:00,2.503656E+04,2.333407E+01,1.534002E+00,1.633044E-03,1.224262E+04,3.352155E+03,7.501061E-01,2.346585E-01,3.608264E+04,0.000000E+00,2.210804E+00,0.000000E+00,1.249682E+04,0.000000E+00,7.656818E-01,0.000000E+00,1.747125E+04,8.620358E+04,1.070845E+00,6.032911E+00,3.682882E+04,4.620241E+03,2.256524E+00,3.234261E-01,1.210433E+04,2.580917E+03,7.416327E-01,1.806754E-01,3.203310E+04,5.862188E+03,1.962262E+00,4.104132E-01,4.446222E+04,4.745964E+03,2.723635E+00,3.322630E-01,2.427899E+04,5.571788E+03,1.487583E+00,3.900437E-01,1.173884E+05,8.834205E+04,7.192546E+00,6.184234E+00,3.865838E+04,3.276302E+04,2.369443E+00,2.292967E+00,1.600135E+04,3.453817E+03,9.801975E-01,2.418029E-01,1.258322E+04,2.505349E+02,7.709758E-01,1.753452E-02,1.584483E+04,2.709652E+03,9.706094E-01,1.897034E-01 
02:45:00,2.503658E+04,5.654827E-01,1.534004E+00,3.957516E-05,1.224266E+04,3.259511E+03,7.501081E-01,2.281733E-01,3.608265E+04,0.000000E+00,2.210805E+00,0.000000E+00,1.249683E+04,0.000000E+00,7.656825E-01,0.000000E+00,1.747138E+04,8.611006E+04,1.070853E+00,6.026356E+00,3.682887E+04,4.483917E+03,2.256527E+00,3.138820E-01,1.210436E+04,2.538446E+03,7.416346E-01,1.777026E-01,3.203318E+04,5.732733E+03,1.962267E+00,4.013499E-01,4.446229E+04,4.609893E+03,2.723639E+00,3.227372E-01,2.427905E+04,5.475867E+03,1.487587E+00,3.833303E-01,1.173888E+05,8.799015E+04,7.192570E+00,6.159602E+00,3.865840E+04,3.268979E+04,2.369445E+00,2.287833E+00,1.600139E+04,3.354946E+03,9.802001E-01,2.348807E-01,1.258323E+04,1.929549E+02,7.709765E-01,1.350447E-02,1.584487E+04,2.650053E+03,9.706120E-01,1.855308E-01 
03:00:00,2.503660E+04,0.000000E+00,1.534005E+00,0.000000E+00,1.224269E+04,3.172184E+03,7.501100E-01,2.220604E-01,3.608267E+04,0.000000E+00,2.210805E+00,0.000000E+00,1.249684E+04,0.000000E+00,7.656831E-01,0.000000E+00,1.747151E+04,8.601581E+04,1.070861E+00,6.019753E+00,3.682893E+04,4.349411E+03,2.256530E+00,3.044650E-01,1.210439E+04,2.497549E+03,7.416365E-01,1.748399E-01,3.203326E+04,5.609735E+03,1.962272E+00,3.927387E-01,4.446236E+04,4.480543E+03,2.723643E+00,3.136815E-01,2.427911E+04,5.386133E+03,1.487591E+00,3.770501E-01,1.173892E+05,8.764862E+04,7.192593E+00,6.135694E+00,3.865843E+04,3.261767E+04,2.369446E+00,2.282778E+00,1.600143E+04,3.261050E+03,9.802025E-01,2.283068E-01,1.258324E+04,1.386556E+02,7.709771E-01,9.704103E-03,1.584491E+04,2.593538E+03,9.706145E-01,1.815743E-01 
03:15:00,2.503662E+04,0.000000E+00,1.534006E+00,0.000000E+00,1.224272E+04,3.089143E+03,7.501118E-01,2.162476E-01,3.608268E+04,0.000000E+00,2.210806E+00,0.000000E+00,1.249685E+04,0.000000E+00,7.656837E-01,0.000000E+00,1.747164E+04,8.592132E+04,1.070869E+00,6.013135E+00,3.682898E+04,4.221025E+03,2.256534E+00,2.954761E-01,1.210442E+04,2.459151E+03,7.416384E-01,1.721517E-01,3.203334E+04,5.490704E+03,1.962277E+00,3.844053E-01,4.446242E+04,4.348976E+03,2.723647E+00,3.044697E-01,2.427917E+04,5.300276E+03,1.487594E+00,3.710408E-01,1.173896E+05,8.730796E+04,7.192615E+00,6.111849E+00,3.865845E+04,3.254640E+04,2.369447E+00,2.277784E+00,1.600147E+04,3.170772E+03,9.802049E-01,2.219863E-01,1.258325E+04,8.650617E+01,7.709777E-01,6.054272E-03,1.584495E+04,2.538904E+03,9.706168E-01,1.777494E-01 
03:30:00,2.503664E+04,0.000000E+00,1.534007E+00,0.000000E+00,1.224275E+04,3.010209E+03,7.501136E-01,2.107223E-01,3.608269E+04,0.000000E+00,2.210807E+00,0.000000E+00,1.249686E+04,0.000000E+00,7.656842E-01,0.000000E+00,1.747176E+04,8.582673E+04,1.070877E+00,6.006512E+00,3.682903E+04,4.098557E+03,2.256537E+00,2.869022E-01,1.210445E+04,2.422077E+03,7.416401E-01,1.695565E-01,3.203341E+04,5.375506E+03,1.962281E+00,3.763403E-01,4.446248E+04,4.215765E+03,2.723651E+00,2.951414E-01,2.427923E+04,5.217295E+03,1.487598E+00,3.652325E-01,1.173899E+05,8.696848E+04,7.192636E+00,6.088087E+00,3.865847E+04,3.247573E+04,2.369449E+00,2.272832E+00,1.600150E+04,3.083918E+03,9.802071E-01,2.159054E-01,1.258326E+04,4.547443E+01,7.709782E-01,3.182578E-03,1.584499E+04,2.486130E+03,9.706190E-01,1.740547E-01 
03:45:00,2.503665E+04,0.000000E+00,1.534008E+00,0.000000E+00,1.224277E+04,2.935237E+03,7.501152E-01,2.054742E-01,3.608271E+04,0.000000E+00,2.210808E+00,0.000000E+00,1.249687E+04,0.000000E+00,7.656848E-01,0.000000E+00,1.747188E+04,8.573212E+04,1.070884E+00,5.999888E+00,3.682908E+04,3.982809E+03,2.256540E+00,2.787991E-01,1.210448E+04,2.385392E+03,7.416418E-01,1.669886E-01,3.203348E+04,5.264034E+03,1.962285E+00,3.685361E-01,4.446254E+04,4.080556E+03,2.723655E+00,2.856730E-01,2.427928E+04,5.137168E+03,1.487601E+00,3.596235E-01,1.173902E+05,8.663044E+04,7.192657E+00,6.064425E+00,3.865849E+04,3.240545E+04,2.369450E+00,2.267908E+00,1.600154E+04,3.000316E+03,9.802092E-01,2.100522E-01,1.258327E+04,1.770879E+01,7.709787E-01,1.239361E-03,1.584502E+04,2.435215E+03,9.706212E-01,1.704902E-01 
04:00:00,2.503667E+04,0.000000E+00,1.534009E+00,0.000000E+00,1.224280E+04,2.864114E+03,7.501169E-01,2.004957E-01,3.608272E+04,0.000000E+00,2.210809E+00,0.000000E+00,1.249687E+04,0.000000E+00,7.656853E-01,0.000000E+00,1.747200E+04,8.563756E+04,1.070891E+00,5.993268E+00,3.682912E+04,3.870855E+03,2.256542E+00,2.709619E-01,1.210450E+04,2.348601E+03,7.416434E-01,1.644128E-01,3.203355E+04,5.156221E+03,1.962290E+00,3.609882E-01,4.446260E+04,3.943808E+03,2.723658E+00,2.760968E-01,2.427934E+04,5.060737E+03,1.487604E+00,3.542732E-01,1.173906E+05,8.629408E+04,7.192677E+00,6.040881E+00,3.865851E+04,3.233541E+04,2.369451E+00,2.263001E+00,1.600157E+04,2.919818E+03,9.802113E-01,2.044164E-01,1.258328E+04,2.704706E+00,7.709792E-01,1.892888E-04,1.584505E+04,2.386237E+03,9.706232E-01,1.670614E-01 
04:15:00,2.503669E+04,0.000000E+00,1.534010E+00,0.000000E+00,1.224282E+04,2.797650E+03,7.501184E-01,1.958434E-01,3.608273E+04,0.000000E+00,2.210809E+00,0.000000E+00,1.249688E+04,0.000000E+00,7.656857E-01,0.000000E+00,1.747212E+04,8.554309E+04,1.070898E+00,5.986655E+00,3.682917E+04,3.763785E+03,2.256545E+00,2.634664E-01,1.210453E+04,2.312253E+03,7.416450E-01,1.618678E-01,3.203361E+04,5.054460E+03,1.962294E+00,3.538640E-01,4.446265E+04,3.812115E+03,2.723662E+00,2.668746E-01,2.427939E+04,4.988900E+03,1.487607E+00,3.492446E-01,1.173909E+05,8.596946E+04,7.192696E+00,6.018159E+00,3.865853E+04,3.226550E+04,2.369452E+00,2.258105E+00,1.600160E+04,2.843504E+03,9.802132E-01,1.990735E-01,1.258328E+04,0.000000E+00,7.709797E-01,0.000000E+00,1.584509E+04,2.340271E+03,9.706252E-01,1.638435E-01 
04:30:00,2.503670E+04,0.000000E+00,1.534011E+00,0.000000E+00,1.224285E+04,2.735914E+03,7.501199E-01,1.915221E-01,3.608274E+04,0.000000E+00,2.210810E+00,0.000000E+00,1.249689E+04,0.000000E+00,7.656862E-01,0.000000E+00,1.747224E+04,8.544875E+04,1.070905E+00,5.980051E+00,3.682921E+04,3.659123E+03,2.256548E+00,2.561394E-01,1.210455E+04,2.277101E+03,7.416464E-01,1.594063E-01,3.203368E+04,4.958812E+03,1.962297E+00,3.471680E-01,4.446271E+04,3.685649E+03,2.723665E+00,2.580190E-01,2.427944E+04,4.919092E+03,1.487610E+00,3.443580E-01,1.173912E+05,8.565679E+04,7.192715E+00,5.996274E+00,3.865855E+04,3.219567E+04,2.369454E+00,2.253214E+00,1.600163E+04,2.771297E+03,9.802151E-01,1.940182E-01,1.258329E+04,0.000000E+00,7.709802E-01,0.000000E+00,1.584512E+04,2.297417E+03,9.706271E-01,1.608436E-01 
04:45:00,2.503671E+04,0.000000E+00,1.534012E+00,0.000000E+00,1.224287E+04,2.678826E+03,7.501213E-01,1.875262E-01,3.608275E+04,0.000000E+00,2.210811E+00,0.000000E+00,1.249690E+04,0.000000E+00,7.656866E-01,0.000000E+00,1.747235E+04,8.535460E+04,1.070912E+00,5.973462E+00,3.682925E+04,3.555916E+03,2.256550E+00,2.489139E-01,1.210458E+04,2.243168E+03,7.416479E-01,1.570303E-01,3.203374E+04,4.869396E+03,1.962301E+00,3.409084E-01,4.446276E+04,3.565634E+03,2.723668E+00,2.496153E-01,2.427948E+04,4.850471E+03,1.487613E+00,3.395538E-01,1.173915E+05,8.535634E+04,7.192733E+00,5.975244E+00,3.865857E+04,3.212593E+04,2.369455E+00,2.248330E+00,1.600166E+04,2.703136E+03,9.802169E-01,1.892461E-01,1.258330E+04,0.000000E+00,7.709806E-01,0.000000E+00,1.584515E+04,2.257830E+03,9.706289E-01,1.580725E-01 
05:00:00,2.503673E+04,0.000000E+00,1.534013E+00,0.000000E+00,1.224289E+04,2.630468E+03,7.501227E-01,1.841417E-01,3.608276E+04,0.000000E+00,2.210811E+00,0.000000E+00,1.249690E+04,0.000000E+00,7.656870E-01,0.000000E+00,1.747246E+04,8.526084E+04,1.070919E+00,5.966899E+00,3.682929E+04,3.514653E+03,2.256552E+00,2.460244E-01,1.210460E+04,2.228781E+03,7.416492E-01,1.560226E-01,3.203379E+04,4.793024E+03,1.962304E+00,3.355621E-01,4.446280E+04,3.499159E+03,2.723671E+00,2.449602E-01,2.427953E+04,4.792390E+03,1.487616E+00,3.354868E-01,1.173918E+05,8.506842E+04,7.192751E+00,5.955092E+00,3.865859E+04,3.205656E+04,2.369456E+00,2.243472E+00,1.600169E+04,2.643208E+03,9.802186E-01,1.850506E-01,1.258331E+04,0.000000E+00,7.709810E-01,0.000000E+00,1.584517E+04,2.234970E+03,9.706306E-01,1.564725E-01 
05:15:00,2.503674E+04,0.000000E+00,1.534013E+00,0.000000E+00,1.224292E+04,2.595608E+03,7.501240E-01,1.816998E-01,3.608277E+04,0.000000E+00,2.210812E+00,0.000000E+00,1.249691E+04,0.000000E+00,7.656874E-01,0.000000E+00,1.747257E+04,8.516985E+04,1.070926E+00,5.960530E+00,3.682932E+04,3.671526E+03,2.256555E+00,2.570035E-01,1.210462E+04,2.279954E+03,7.416506E-01,1.596029E-01,3.203385E+04,4.741711E+03,1.962308E+00,3.319648E-01,4.446285E+04,3.615787E+03,2.723674E+00,2.531218E-01,2.427957E+04,4.757883E+03,1.487619E+00,3.330659E-01,1.173921E+05,8.481218E+04,7.192768E+00,5.937071E+00,3.865861E+04,3.199300E+04,2.369457E+00,2.239020E+00,1.600172E+04,2.598600E+03,9.802202E-01,1.819248E-01,1.258331E+04,0.000000E+00,7.709814E-01,0.000000E+00,1.584520E+04,2.276348E+03,9.706322E-01,1.593677E-01 
